,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
422,N,7219,0,62.0,12.288405797101449,1.0,0.0,37.760348,-122.509201,0.0,33.01666666666668,33.01666666666668,1.3533333333333335,2.48,2.48,,,,,
420,N,7162,1,45.0,21.24970238095237,0.0,0.0,37.769463,-122.429133,0.0,15.260000000000005,15.260000000000005,2.070000000000001,8.14,8.14,,,,,
410,N,5419,1,47.0,14.447110981244533,0.0,0.0,37.775069,-122.419193,0.0,510.4666666666667,510.4666666666667,85.33400000000002,10.026666666666667,10.026666666666667,N-JUDAH,Van Ness Sta,,,Metro Van Ness Station
413,N,6992,1,51.0,17.954887218045112,0.0,1.0,37.793143,-122.396396,0.0,221.9866666666666,221.9866666666666,57.69033333333332,15.590000000000002,15.590000000000002,N-JUDAH,EmbarcaderoSta,,,Metro Embarcadero Station
426,N,7380,1,53.0,17.900763358778626,0.0,0.0,37.78957,-122.388489,0.0,75.75,75.75,11.921,9.44,9.44,,,,,
440,S,7217,0,27.0,20.441176470588236,0.0,1.0,37.793152,-122.396431,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
435,S,6994,0,28.0,20.43290441176471,0.0,0.0,37.788791,-122.402127,0.0,54.46666666666665,54.46666666666665,14.722,16.21666666666667,16.21666666666667,,,,,
436,S,6995,0,29.0,20.424632352941178,0.0,0.0,37.7843,-122.407822,0.0,56.166666666666664,56.166666666666664,14.925999999999995,15.943333333333333,15.943333333333333,,,,,
438,S,6997,0,30.0,20.414044117647055,0.0,0.0,37.778675,-122.41499500000002,0.0,70.53333333333335,70.53333333333335,18.767999999999994,15.963333333333333,15.963333333333333,,,,,
437,S,6996,0,31.0,20.408088235294116,0.0,0.0,37.775234,-122.41933999999999,0.0,43.49999999999999,43.49999999999999,11.424000000000001,15.76,15.76,,,,,
439,S,6998,0,32.0,20.42661764705882,0.0,0.0,37.767327,-122.429321,0.0,112.82000000000004,112.82000000000004,26.248000000000005,13.96,13.96,,,,,
