,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
42,F,5184,1,51.0,8.049319727891156,1.0,0.0,37.807248,-122.417366,0.0,338.83000000000015,338.83000000000015,18.375,3.25,3.25,,,,,
148,J,7217,0,12.0,11.624759315890813,0.0,1.0,37.793152,-122.396431,0.0,0.0,0.0,0.0,0.0,0.0,J-CHURCH,Embarc Sta,1312,0,Metro Embarcadero Station
141,J,6994,0,13.0,11.54221111688012,0.0,0.0,37.788791,-122.402127,0.0,161.86666666666665,161.86666666666665,46.61966666666666,17.28,17.28,J-CHURCH,Montgmey Sta,1017,52,Metro Montgomery Station/Downtown
142,J,6995,0,14.0,11.542095015576328,0.0,0.0,37.7843,-122.407822,0.0,167.25,167.25,47.26566666666665,16.956666666666667,16.956666666666667,J-CHURCH,Powell Stat,1222,248,Metro Powell Station/Outbound
144,J,6997,0,15.0,11.541946405907467,0.0,0.0,37.778675,-122.41499500000002,0.0,209.7733333333333,209.7733333333333,59.43199999999997,17.0,17.0,J-CHURCH,CivicCenter Sta,650,311,Metro Civic Center Station/Outbd
143,J,6996,0,16.0,11.624299184505608,0.3333333333333333,0.0,37.775234,-122.41933999999999,0.0,136.11,136.11,37.936000000000014,16.72,16.72,J-CHURCH,Van Ness Sta,475,536,Metro Van Ness Station
146,J,7162,0,17.0,12.24291666666667,1.0,0.0,37.769463,-122.429133,0.0,327.0,327.0,72.81199999999998,13.36,13.36,,,,,
149,J,7316,0,18.0,11.953103641456584,0.0,0.3333333333333333,37.767786,-122.428996,0.0,207.36000000000004,207.36000000000004,35.489000000000004,9.13,9.13,J-CHURCH,Church&14th,726,810,Church St & 14th St
101,J,3984,0,19.0,11.952079831932773,0.0,0.0,37.764621,-122.428722,0.0,196.47000000000003,196.47000000000003,26.061000000000007,7.96,7.96,J-CHURCH,Church&16th,232,284,Church St & 16th St
103,J,3987,0,20.0,11.951084033613448,0.0,0.0,37.761467,-122.42841600000001,0.0,196.47000000000003,196.47000000000003,25.942000000000007,7.919999999999999,7.919999999999999,J-CHURCH,Church&18th,286,340,Church St & 18th St
125,J,6214,0,21.0,11.950036414565828,0.0,0.0,37.758264,-122.427924,0.0,202.20000000000002,202.20000000000002,26.536999999999992,7.87,7.87,J-CHURCH,ROW&20th,63,237,Right Of Way/20th St
130,J,6221,0,22.0,11.949586834733894,0.0,0.0,37.757451,-122.42699899999998,0.0,78.67,78.67,9.044,6.900000000000001,6.900000000000001,J-CHURCH,ROW&Liberty,12,95,Right Of Way/Liberty St
127,J,6216,0,23.0,11.949341736694677,0.0,0.0,37.756643,-122.426922,0.0,48.65000000000001,48.65000000000001,6.664000000000004,8.22,8.22,J-CHURCH,ROW&21st,13,148,Right Of Way/21st St
129,J,6218,0,24.0,11.948739495798321,0.0,0.0,37.754910333333335,-122.42768133333334,0.0,112.62,112.62,15.073333333333338,8.026666666666666,8.026666666666666,J-CHURCH,ROW&22nd,35,179,Right Of Way/22nd St
105,J,3995,0,25.0,11.947619047619048,0.0,0.0,37.7518,-122.427497,0.0,210.67999999999995,210.67999999999995,25.545333333333332,7.276666666666666,7.276666666666666,J-CHURCH,Church&24th,145,868,Church St & 24th St
112,J,4002,0,26.0,11.947619047619048,0.0,0.0,37.749388,-122.42728900000002,0.0,116.62,116.62,19.872999999999994,10.22,10.22,J-CHURCH,Church&Clipper,31,194,Church St & Clipper St
107,J,3997,0,27.0,11.947619047619048,0.0,0.0,37.746985,-122.427073,0.0,116.62,116.62,19.754,10.16,10.16,J-CHURCH,Church&27th,51,331,Church St & 27th St
114,J,4004,0,28.0,11.947619047619048,0.0,0.0,37.742811,-122.426654,0.0,204.67999999999995,204.67999999999995,34.391,10.08,10.08,J-CHURCH,Church&Day,128,659,Church St & Day St
111,J,4001,0,29.0,11.93641456582633,0.0,0.0,37.742097,-122.426528,0.0,38.080000000000005,38.080000000000005,5.950000000000001,9.38,9.38,,,,,
100,J,3538,0,30.0,11.844586894586897,0.0,0.0,37.74217,-122.424457,0.0,103.07333333333331,103.07333333333331,13.884000000000007,8.209999999999999,8.209999999999999,J-CHURCH,30th&Dolores,60,170,30th St & Dolores St
135,J,6280,0,31.0,11.846495726495727,0.0,0.0,37.739385,-122.42432000000001,0.0,150.15666666666667,150.15666666666667,22.46400000000001,8.979999999999999,8.979999999999999,J-CHURCH,S.Jose&Randall,66,171,San Jose Ave & Randall St
117,J,4788,0,32.0,11.851851851851855,0.0,0.0,37.732401,-122.433855,0.0,400.3566666666668,400.3566666666668,83.07000000000004,12.450000000000001,12.450000000000001,J-CHURCH,Glen Park Sta,18,146,San Jose Ave/Glen Park Station
137,J,6285,0,33.0,11.854843304843305,0.0,0.0,37.728996,-122.440016,0.0,233.4066666666666,233.4066666666666,48.08699999999997,12.36,12.36,J-CHURCH,S.Jose&S.Rosa,29,148,San Jose Ave & Santa Rosa Ave
