,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP NAME,SEQ,Stop Latitude, Total Alightings ,Stop Longitude, Total Boardings ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,geometry
299,7399,KT,0,Bay Shore Blvd/Arleta/Blanken,2,37.712223,24,-122.402336,752.9,17.37804878,0,0,37.712226,-122.402339,0,151.46,151.46,33.333,13.2,13.2,POINT (-122.402339 37.712226)
300,7400,KT,0,Third Street & Le Conte Ave,3,37.718807,168.6,-122.39747,318.7,17.37479675,0,0,37.718809,-122.397468,0,295.54,295.54,64.821,13.16,13.16,POINT (-122.397468 37.718809)
275,7347,KT,0,Third Street/Gilman/Paul,4,37.722446,173.7,-122.39561,795,17.37317073,0,0,37.722449,-122.39561,0,149,149,33.333,13.42,13.42,POINT (-122.39561 37.722449)
271,7343,KT,0,Third Street & Carroll Ave,5,37.72549,131.9,-122.394226,429.7,17.36900661,0,0,37.725491,-122.394222,0,152.96,152.96,27.429,10.76,10.76,POINT (-122.394222 37.725491)
273,7345,KT,0,Third Street & Williams Ave,6,37.729294,219.3,-122.39261,594,17.36380335,0,0,37.729291,-122.392604,0,191.2,191.2,34.071,10.69,10.69,POINT (-122.392604 37.729291)
301,7401,KT,0,Third Street/Revere/Shafter,7,37.732265,339.6,-122.3915,484.2,17.35980183,0,0,37.732262,-122.391502,0,147.29,147.29,26.322,10.72,10.72,POINT (-122.391502 37.732262)
302,7402,KT,0,Third Street/Oakdale/Palou,8,37.73436,563.5,-122.39083,626.7,17.35716463,0,0,37.734358,-122.390836,0,107.12,107.12,18.327,10.27,10.27,POINT (-122.390836 37.734358)
303,7403,KT,0,Third Street/Kirkwood/La Salle,9,37.73764,131,-122.38969,580.6,17.35529472,0,0,37.737641,-122.389688,0,156.16,156.16,28.905,11.11,11.11,POINT (-122.389688 37.737641)
304,7404,KT,0,Third Street/Hudson/Innes,10,37.739918,139.9,-122.38888,296.6,17.3540752,0,0,37.739916,-122.388884,0,107.94,107.94,20.049,11.14,11.14,POINT (-122.388884 37.739916)
276,7352,KT,0,Third Street & Evans Ave,11,37.74273,267.4,-122.38792,299.7,17.35253049,0,0,37.742726,-122.38792,0,133.71,133.71,24.723,11.09,11.09,POINT (-122.38792 37.742726)
277,7353,KT,0,Third Street & Marin St,12,37.749,145.2,-122.38745,259.6,17.34903455,0,0,37.748999,-122.387445,0,297.19,297.19,53.259,10.75,10.75,POINT (-122.387445 37.748999)
404,7440,KT,0,,13,,,,,62.38030096,0,1,37.752871,-122.38688,0,33,33,2.959,5.38,5.38,POINT (-122.38688 37.752871)
278,7354,KT,0,Third Street & 23rd St,14,37.755417,166.7,-122.388,466.8,17.50332126,0,0,37.755414,-122.388001,0,258.18,258.18,55.568,12.91,12.91,POINT (-122.388001 37.755414)
279,7355,KT,0,Third Street & 20th St,15,37.76052,441.1,-122.38856,546.4,17.50332126,0,0,37.760518,-122.388558,0,243.82,243.82,50.832,12.51,12.51,POINT (-122.388558 37.760518)
280,7356,KT,0,Third Street & Mariposa St,16,37.764393,88,-122.388855,438.8,17.51230072,0,0,37.764391,-122.388853,0,229.14,229.14,38.592,10.11,10.11,POINT (-122.388853 37.764391)
281,7357,KT,0,UCSF/Mission Bay,17,37.769047,120.2,-122.38931,767.9,17.522968,0,0,37.769049,-122.389308,0,276.27,276.27,46.368,10.07,10.07,POINT (-122.389308 37.769049)
