,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
318,M,6173,0,75,10.98229245,0,0,37.714201,-122.467218,0,144.53,144.53,16.575,6.883333333,6.883333333,M-OCEAN VIEW,Randolph&Arch,104,260,Randolph St & Arch St
320,M,6175,0,76,10.98367832,0,0,37.71424,-122.46361,0,182.41,182.41,21.45,7.053333333,7.053333333,M-OCEAN VIEW,Randolph&Bright,132,275,Randolph St & Bright St
316,M,5825,0,77,10.98460224,0,0,37.713328,-122.462585,0,114.71,114.71,9.1,4.756666667,4.756666667,M-OCEAN VIEW,Orizaba&Broad,110,113,Orizaba Ave & Broad St
305,M,3716,0,78,10.98589572,0,0,37.713152,-122.459159,0,182.7666667,182.7666667,20.36666667,6.683333333,6.683333333,,,,,
308,M,3719,0,79,10.98663485,0,0,37.713161,-122.45618,0,156.8166667,156.8166667,17.65833333,6.753333333,6.753333333,M-OCEAN VIEW,Broad&Plymouth,289,279,Broad St & Plymouth Ave
326,M,6259,0,80,10.99871032,0,0,37.71407,-122.45208,0,98.74666667,98.74666667,25.00866667,15.2,15.2,M-OCEAN VIEW,S.J.&Farallones,18,50,San Jose Ave & Farallones St
329,M,6266,0,81,10.99871032,0,0,37.716083,-122.450435,0,66.54666667,66.54666667,17.81733333,16.06,16.06,M-OCEAN VIEW,S.J.&Lakeview,36,87,San Jose Ave & Lakeview Ave
330,M,6268,0,82,10.99871032,0,0,37.718284,-122.448593,0,72.98666667,72.98666667,19.53466667,16.06,16.06,M-OCEAN VIEW,S.J.&MtVernon,5,29,San Jose Ave & Mt Vernon Ave
331,M,6269,0,83,10.99871032,0.333333333,0,37.7194,-122.44762,0,37.56666667,37.56666667,10.08933333,16.11,16.11,M-OCEAN VIEW,S.J.&Niagra,0,"1,526",San Jose Ave & Niagra Ave
351,M,7165,0,84,11.21904762,1,0,37.720622,-122.446566,0,45.15,45.15,10.71,14.23,14.23,M-OCEAN VIEW,Geneva Term,0,32,SAN JOSE AVE & GENEVA AVE
442,M,6992,0,,,,,,,,,,,,,M-OCEAN VIEW,Embarc Sta,0,"2,452",Metro Embarcadero Station
458,M,3715,0,,,,,,,,,,,,,M-OCEAN VIEW,Broad&Capitol,180,236,Broad St & Capitol Ave
