,ROUTE_SHORT_NAME,STOP_ID,DIR,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
29,F,4517.0,1,8.062925170068027,0.0,0.0,37.801264,-122.399369,0.0,162.51999999999992,162.51999999999992,21.168000000000003,7.81,7.81,,,,,
30,F,4518.0,0,16.934256338899193,0.0,0.0,37.800605,-122.39892000000002,0.0,181.78999999999996,181.78999999999996,29.252999999999997,9.65,9.65,,,,,
31,F,4529.0,0,16.92721088435374,0.0,0.0,37.805022,-122.40331399999998,0.0,170.03000000000003,170.03000000000003,27.19499999999999,9.6,9.6,,,,,
32,F,4530.0,1,8.062925170068027,0.0,0.0,37.808351,-122.410287,0.0,277.9,277.9,35.280000000000015,7.62,7.62,,,,,
33,F,4532.0,1,8.062925170068027,0.0,0.0,37.797085,-122.39567,0.0,191.18000000000004,191.18000000000004,24.84299999999999,7.8,7.8,,,,,
34,F,4534.0,0,16.940890538033393,0.0,0.0,37.796355,-122.395181,0.0,194.92,194.92,31.604999999999986,9.73,9.73,,,,,
35,F,4726.0,0,16.945887445887443,0.0,0.0,37.794105,-122.393874,0.0,131.63000000000002,131.63000000000002,7.350000000000001,3.35,3.35,,,,,
36,F,4727.0,1,8.062925170068027,0.0,0.0,37.7939,-122.39344999999999,0.0,382.11999999999995,382.11999999999995,27.194999999999993,4.27,4.27,,,,,
37,F,4787.0,1,32.07272727272727,0.0,0.0,37.732525,-122.43341600000001,0.0,41.800000000000004,41.800000000000004,9.504,13.64,13.64,,,,,
38,F,4788.0,0,46.22727272727273,0.0,0.0,37.732401,-122.433855,0.0,72.16,72.16,15.62,12.99,12.99,,,,,
39,F,5174.0,1,8.057823129251702,0.0,0.0,37.808594,-122.413357,0.0,350.9000000000001,350.9000000000001,24.84299999999999,4.25,4.25,,,,,
40,F,5175.0,1,8.05421768707483,0.0,0.0,37.80832,-122.41551399999999,0.0,247.31000000000006,247.31000000000006,17.640000000000008,4.28,4.28,,,,,
41,F,5184.0,0,16.91091674765144,0.0,1.0,37.807248,-122.417366,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
42,F,5184.0,1,8.049319727891156,1.0,0.0,37.807248,-122.417366,0.0,338.83000000000015,338.83000000000015,18.375,3.25,3.25,,,,,
43,F,5639.0,0,16.937270665842092,0.0,0.0,37.789353,-122.40130600000002,0.0,230.19000000000014,230.19000000000014,25.284000000000002,6.59,6.59,,,,,
44,F,5640.0,1,8.069727891156461,0.0,0.0,37.787525,-122.403519,0.0,185.8000000000001,185.8000000000001,26.900999999999993,8.69,8.69,,,,,
45,F,5643.0,1,8.069727891156461,0.0,0.0,37.785652,-122.405893,0.0,195.78999999999996,195.78999999999996,25.431,7.79,7.79,,,,,
46,F,5645.0,1,8.072108843537412,0.0,0.0,37.783886,-122.408141,0.0,190.22999999999988,190.22999999999988,25.578000000000014,8.07,8.07,,,,,
47,F,5647.0,1,8.074353741496598,0.0,0.0,37.782102,-122.4104,0.0,185.98000000000002,185.98000000000002,24.989999999999995,8.06,8.06,,,,,
48,F,5650.0,1,8.076530612244897,0.0,0.0,37.780363,-122.41261300000001,0.0,224.67000000000004,224.67000000000004,25.137000000000004,6.71,6.71,,,,,
49,F,5651.0,1,8.0743537414966,0.0,0.0,37.778606,-122.414826,0.0,150.82000000000002,150.82000000000002,17.199,6.84,6.84,,,,,
50,F,5652.0,1,8.072789115646259,0.0,0.0,37.77741,-122.41634,0.0,297.39000000000004,297.39000000000004,33.81000000000003,6.82,6.82,,,,,
51,F,5655.0,0,16.93084290426127,0.0,0.0,37.784082,-122.407992,0.0,227.10999999999999,227.10999999999999,25.578000000000003,6.760000000000001,6.760000000000001,,,,,
52,F,5656.0,0,16.92660570721795,0.0,0.0,37.780568,-122.412441,0.0,227.10999999999999,227.10999999999999,25.13699999999999,6.64,6.64,,,,,
53,F,5657.0,0,16.93940866389846,0.0,0.0,37.79111,-122.399069,0.0,417.6599999999999,417.6599999999999,33.36900000000001,4.79,4.79,,,,,
54,F,5659.0,0,15.355026455026456,0.0,0.0,37.769786,-122.426149,0.0,111.55,111.55,15.390000000000006,8.28,8.28,,,,,
55,F,5661.0,0,15.356966490299824,0.0,0.0,37.767829,-122.428628,0.0,194.36999999999992,194.36999999999992,25.784999999999986,7.96,7.96,,,,,
56,F,5662.0,1,8.8125,1.0,0.0,37.767259,-122.42915,0.0,202.88000000000002,202.88000000000002,20.789999999999992,6.150000000000001,6.150000000000001,,,,,
57,F,5668.0,1,8.788425925925926,0.0,0.0,37.76888,-122.427103,0.0,216.2800000000001,216.2800000000001,21.330000000000005,5.919999999999999,5.919999999999999,,,,,
58,F,5669.0,0,16.94329593309185,0.0,0.0,37.793473,-122.396178,0.0,283.34000000000015,283.34000000000015,19.551000000000002,4.14,4.14,,,,,
59,F,5672.0,0,15.351379188712523,0.0,0.0,37.773269,-122.421768,0.0,195.4700000000001,195.4700000000001,26.459999999999997,8.12,8.12,,,,,
60,F,5673.0,1,8.787314814814815,0.0,0.0,37.772875,-122.421991,0.0,309.06999999999994,309.06999999999994,30.78,5.98,5.98,,,,,
61,F,5675.0,1,8.787962962962963,0.0,0.0,37.77057,-122.42497099999999,0.0,223.22999999999993,223.22999999999993,22.275000000000002,5.989999999999999,5.989999999999999,,,,,
62,F,5676.0,0,16.924744235356478,0.0,0.0,37.779105,-122.414379,0.0,184.78999999999996,184.78999999999996,21.46199999999999,6.97,6.97,,,,,
63,F,5678.0,0,16.935327031245393,0.0,0.0,37.78773,-122.40337,0.0,211.41000000000008,211.41000000000008,23.37299999999999,6.63,6.63,,,,,
64,F,5679.0,0,16.922952336778867,0.0,0.0,37.777589,-122.41621300000001,0.0,182.07000000000002,182.07000000000002,21.314999999999994,7.02,7.02,,,,,
65,F,5681.0,0,15.353862433862439,0.0,0.0,37.770953,-122.424666,0.0,224.09,224.09,30.375,8.13,8.13,,,,,
66,F,5682.0,1,8.06862244897959,0.0,0.0,37.792984,-122.39662700000001,0.0,306.87999999999994,306.87999999999994,29.252999999999997,5.72,5.72,,,,,
67,F,5685.0,1,8.069727891156461,0.0,0.0,37.788613,-122.40216300000002,0.0,105.2,105.2,15.581999999999999,8.89,8.89,,,,,
68,F,5686.0,0,15.356966490299826,0.0,0.0,37.764489,-122.432812,0.0,173.99999999999991,173.99999999999991,22.14,7.63,7.63,,,,,
69,F,5687.0,1,8.851851851851851,0.0,0.0,37.763958,-122.43332300000002,0.0,199.57000000000002,199.57000000000002,17.75899999999999,5.34,5.34,,,,,
70,F,5690.0,0,15.356966490299824,0.0,0.0,37.766185,-122.430707,0.0,169.73,169.73,21.734999999999996,7.68,7.68,,,,,
71,F,5691.0,1,8.851851851851851,0.0,0.0,37.765689,-122.43113999999998,0.0,221.10000000000005,221.10000000000005,22.814999999999998,6.19,6.19,,,,,
72,F,5692.0,1,8.069727891156463,0.0,0.0,37.775056,-122.41932100000001,0.0,290.42,290.42,28.350000000000005,5.86,5.86,,,,,
73,F,5694.0,0,16.932929881909473,0.0,0.0,37.785857,-122.40574399999998,0.0,247.94999999999993,247.94999999999993,26.900999999999982,6.510000000000001,6.510000000000001,,,,,
