,EDD_EMP_LOG_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,TRANSBAY_09,MUNI_RAIL_AVG_09,EDD_EMP_LOG_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
740,1.0986122886681098,1.3126054126250304,0.0,4.10674069438279,0.5904977379999999,0.0,0.6590355139999999,0.0,0,0,0,0,0.0,0.6931471805599453,1.8165634465938632,1.0,4.106740693910727,0.7328605200945627,0.0,0.5541028986134029,0.0,1,0,0,0.0,0.0
741,2.5649493574615367,1.3862943611198906,0.0,5.429215617433134,0.379002234,0.0,0.6540779529999999,0.0,1,0,0,0,0.0,3.6375861597263857,1.3862943611198906,0.0,5.442305376803147,0.4888059701492536,0.0,0.4615220256272256,0.0,1,0,0,0.0,0.0
742,1.3862943611198906,1.3862943611198906,0.0,5.511631542645651,0.379002234,0.0,0.752137706,0.0,1,0,0,0,0.0,2.9444389791664403,1.3862943611198906,0.0,5.523920961538542,0.4888059701492536,0.0,0.6459774063936513,0.0,1,0,0,0.0,0.0
743,1.6094379124341003,1.3862943611198906,0.0,5.541971692010306,0.379002234,0.0,0.63803228,0.0,1,0,0,0,0.0,2.995732273553991,1.3862943611198906,0.0,5.553895701679167,0.4888059701492536,0.0,0.4544188847285379,0.0,1,0,0,0.0,0.0
744,3.58351893845611,1.2333260830217787,0.0,6.106048976004942,0.45919610200000005,0.0,0.681320557,0.0,1,0,0,0,0.0,2.772588722239781,1.45740445021998,0.0,6.106048975989456,0.3748571428571429,0.0,0.6302768275074039,0.0,1,0,0,0.0,0.0
745,3.4011973816621555,1.2333260830217787,0.0,5.7836592190201275,0.45919610200000005,0.0,0.689104761,0.0,1,0,0,0,0.0,2.9444389791664403,1.45740445021998,0.0,5.78365921885592,0.3748571428571429,0.0,0.5696103410034069,0.0,1,0,0,0.0,0.0
746,3.367295829986474,1.3272289787294795,0.0,5.610797278980423,0.24903474899999997,0.0,0.612769849,0.0,1,0,0,0,0.0,3.4965075614664802,1.3386132999324292,0.0,5.612973402629702,0.3459277917716205,0.0,0.5578351997065637,0.0,1,0,0,0.0,0.0
747,3.4339872044851463,1.3444457921961463,0.0,5.6133346828599,0.24903474899999997,0.0,0.543692992,0.0,1,0,0,0,0.0,3.58351893845611,1.3543156026956251,0.0,5.611366415556298,0.3459277917716205,0.0,0.5670708780646152,0.0,1,0,0,0.0,0.0
748,6.679599185844383,1.9485749749649788,0.0,5.854932137074775,0.532746823,5.389071729816501,0.555765972,0.0,1,0,0,0,0.0,6.745236349484363,1.950185855464984,0.0,5.855175631892259,0.6572280178837556,5.389071729816501,0.5318056131906554,0.0,1,0,0,0.0,0.0
749,5.8664680569332965,1.9483821978804103,0.0,4.791749301502557,0.532746823,5.389071729816501,0.580600214,0.0,1,0,0,0,0.0,6.07073772800249,1.950081823327933,0.0,4.791749301505332,0.6572280178837556,5.389071729816501,0.5395036186193529,0.0,1,0,0,0.0,0.0
