,ROUTE,STOP NAME,DIRECTION,STOP ID,STOP SEQ,Number of Trips in Time Period,Stop Latitude,Stop Longitude
285,N-Judah ,Judah St & Sunset Blvd,INBOUND,5225,5,7,37.760845,-122.49581
287,N-Judah ,Judah/La Playa/Ocean Beach,INBOUND,5223,1,7,37.760303,-122.50818999999998
288,N-Judah ,Judah/La Playa/Ocean Beach,OUTBOUND,5221,38,12,37.760365,-122.50901
58,KT-Ingleside/Third Street ,Junipero Serra Blvd & Ocean Ave,OUTBOUND,7114,39,31,37.731274,-122.47182
57,KT-Ingleside/Third Street ,Junipero Serra Blvd & Ocean Ave,INBOUND,7113,10,15,37.731629999999996,-122.4717
59,KT-Ingleside/Third Street ,King St & 2nd St,INBOUND,5234,27,15,37.779720000000005,-122.38987
289,N-Judah ,King St & 2nd St,INBOUND,5234,36,4,37.779720000000005,-122.38987
290,N-Judah ,King St & 2nd St,OUTBOUND,5237,3,12,37.77962,-122.389824
60,KT-Ingleside/Third Street ,King St & 2nd St,OUTBOUND,5237,22,26,37.77962,-122.389824
291,N-Judah ,King St & 4th St,INBOUND,5239,37,4,37.776268,-122.39416999999999
292,N-Judah ,King St & 4th St,OUTBOUND,5240,2,12,37.776268,-122.39408
143,L-Taraval ,Metro Castro Station/Downtown,INBOUND,5728,24,5,37.76262,-122.43523400000001
204,M-Ocean View ,Metro Castro Station/Downtown,INBOUND,5728,22,7,37.76262,-122.43523400000001
61,KT-Ingleside/Third Street ,Metro Castro Station/Downtown,INBOUND,5728,16,15,37.76262,-122.43523400000001
144,L-Taraval ,Metro Castro Station/Outbound,OUTBOUND,6991,7,9,37.762684,-122.43529
205,M-Ocean View ,Metro Castro Station/Outbound,OUTBOUND,6991,8,4,37.762684,-122.43529
62,KT-Ingleside/Third Street ,Metro Castro Station/Outbound,OUTBOUND,6991,33,26,37.762684,-122.43529
206,M-Ocean View ,Metro Church Station/Downtown,INBOUND,5726,23,7,37.767193,-122.42917
145,L-Taraval ,Metro Church Station/Downtown,INBOUND,5726,25,5,37.767193,-122.42917
63,KT-Ingleside/Third Street ,Metro Church Station/Downtown,INBOUND,5726,17,15,37.767193,-122.42917
146,L-Taraval ,Metro Church Station/Outbound,OUTBOUND,6998,6,9,37.767326000000004,-122.42931999999999
207,M-Ocean View ,Metro Church Station/Outbound,OUTBOUND,6998,7,4,37.767326000000004,-122.42931999999999
64,KT-Ingleside/Third Street ,Metro Church Station/Outbound,OUTBOUND,6998,32,26,37.767326000000004,-122.42931999999999
