,BLOCKCE,BLOCKID10,COUNTYFP10,HOUSING16,PARTFLG,STATEFP10,TRACTCE10,geometry
60,3002,6.08E+13,75,59,N,6,23001,"POLYGON ((-122.399867 37.730292, -122.400274 37.729838, -122.400895 37.73019, -122.40214 37.730896, -122.402026 37.731024, -122.401288 37.731217, -122.401131 37.731259, -122.400293 37.731478, -122.400281 37.731399, -122.399854 37.730382, -122.399867 37.730292))"
61,1056,6.08E+13,75,1,N,6,17902,"POLYGON ((-122.362826 37.810132, -122.362844 37.809911, -122.363058 37.809361, -122.362981 37.810128, -122.363004 37.810452, -122.363126 37.810872, -122.363294 37.81115399999999, -122.363481 37.811428, -122.363561 37.811455, -122.362961 37.811807, -122.362826 37.810132))"
62,2008,6.08E+13,75,86,N,6,23103,"POLYGON ((-122.379347 37.731679, -122.379346 37.731837, -122.379475 37.732192, -122.379581 37.732392, -122.379596 37.732465, -122.379923 37.73321, -122.379932 37.733381, -122.379743 37.73339, -122.379623 37.733355, -122.378794 37.732891, -122.378658 37.732768, -122.378181 37.732168, -122.37803 37.732002, -122.377525 37.731582, -122.37741 37.731407, -122.377 37.73101, -122.377601 37.731026, -122.37791 37.731146, -122.378135 37.731314, -122.378272 37.731381, -122.378616 37.731496, -122.378798 37.731568, -122.378939 37.731657, -122.379095 37.73169499999999, -122.379347 37.731679))"
63,1010,6.08E+13,75,66,N,6,20700,"POLYGON ((-122.422955 37.761617, -122.422775 37.761628, -122.422411 37.76165, -122.422258 37.760051, -122.422879 37.760013, -122.422976 37.761149, -122.422924 37.761205, -122.422955 37.761617))"
64,3004,6.08E+13,75,0,N,6,30900,"POLYGON ((-122.46422 37.726002, -122.464316 37.725987, -122.464536 37.726067, -122.464573 37.726132, -122.464493 37.726155, -122.464259 37.726069, -122.46422 37.726002))"
65,1028,6.08E+13,75,17,N,6,61400,"POLYGON ((-122.398368 37.751342, -122.398341 37.751055, -122.399414 37.75099, -122.399845 37.750883, -122.399936 37.751068, -122.399949 37.751247, -122.398368 37.751342))"
66,1003,6.08E+13,75,44,N,6,25600,"POLYGON ((-122.42219 37.729537, -122.422503 37.729262, -122.422943 37.729242, -122.423798 37.729509, -122.423577 37.729521, -122.423287 37.729601, -122.423036 37.729708, -122.422891 37.729813, -122.422708 37.72999, -122.422588 37.730176, -122.422522 37.730386, -122.4225 37.730773, -122.422245 37.730856, -122.421946 37.731031, -122.421753 37.731085, -122.421717 37.730902, -122.421743 37.730517, -122.421784 37.730201, -122.421913 37.729898, -122.42213 37.72959, -122.42219 37.729537))"
67,1001,6.08E+13,75,34,N,6,30102,"POLYGON ((-122.454946 37.763663, -122.454845 37.763732, -122.45418 37.763912, -122.45401 37.762668, -122.454946 37.763179, -122.454946 37.763663))"
68,2016,6.08E+13,75,8,N,6,23103,"POLYGON ((-122.37344 37.728326, -122.37364 37.728106, -122.3737 37.728057, -122.373766 37.728005, -122.376681 37.72853, -122.376447 37.728708, -122.375094 37.729743, -122.374928 37.72966, -122.373158 37.728639, -122.37344 37.728326))"
69,2001,6.08E+13,75,82,N,6,17802,"POLYGON ((-122.412627 37.774565, -122.411069 37.775794, -122.410611 37.775428, -122.410862 37.77523, -122.411053 37.77508, -122.41217 37.7742, -122.412627 37.774565))"
70,2001,6.08E+13,75,225,N,6,20402,"POLYGON ((-122.442244 37.756755, -122.442206 37.756774, -122.441683 37.757038, -122.441562 37.757549, -122.441537 37.757844, -122.441628 37.758163, -122.442223 37.758323, -122.442209 37.758514, -122.442164 37.758754, -122.442175 37.758939, -122.441034 37.75901, -122.440798 37.759025, -122.44056 37.758826, -122.440527 37.758492, -122.440181 37.758222, -122.440045 37.758116, -122.439622 37.75796, -122.439874 37.75762, -122.4402 37.757254, -122.439946 37.757199, -122.439624 37.757108, -122.439003 37.75709, -122.438977 37.757022, -122.438839 37.755525, -122.438864 37.755434, -122.438906 37.755521, -122.43899 37.756416, -122.439046 37.756468, -122.439653 37.756435, -122.440134 37.756423, -122.440297 37.756652, -122.440975 37.756855, -122.441311 37.756885, -122.441652 37.75678, -122.441912 37.756757, -122.442202 37.756755, -122.442244 37.756755))"
71,1034,6.08E+13,75,0,N,6,60700,"POLYGON ((-122.394948 37.773529, -122.392784 37.775219, -122.392695 37.77529, -122.392527 37.775163, -122.393666 37.774228, -122.39473 37.773356, -122.394948 37.773529))"
72,1054,6.08E+13,75,0,N,6,60700,"POLYGON ((-122.389527 37.771086, -122.389488 37.77070000000001, -122.389578 37.770692, -122.389665 37.770689, -122.389726 37.770684, -122.389783 37.770676, -122.38984 37.77067, -122.389911 37.770658, -122.389982 37.77065, -122.390061 37.770644, -122.390124 37.770638, -122.390213 37.770632, -122.390285 37.770632, -122.390386 37.770631, -122.390453 37.770629, -122.390511 37.77061399999999, -122.390571 37.770622, -122.39064 37.770618, -122.390658 37.770616, -122.390709 37.770613, -122.390816 37.770607, -122.390889 37.770605, -122.390956 37.770603, -122.391024 37.7706, -122.391089 37.770601, -122.391118 37.770603, -122.391113 37.770786, -122.39112 37.77104, -122.390666 37.77105299999999, -122.390035 37.771071, -122.389527 37.771086))"
73,2005,6.08E+13,75,58,N,6,32601,"POLYGON ((-122.482483 37.763326, -122.482352 37.761464, -122.483423 37.761417, -122.483554 37.763279, -122.482483 37.763326))"
74,1003,6.08E+13,75,155,N,6,42601,"POLYGON ((-122.48166 37.78216, -122.481516 37.780226, -122.481646 37.780299, -122.482486 37.78026, -122.482592 37.780189, -122.482735 37.782122, -122.482606 37.782113, -122.481781 37.782148, -122.48166 37.78216))"
75,1004,6.08E+13,75,121,N,6,42601,"POLYGON ((-122.480451 37.78028, -122.480575 37.780349, -122.481393 37.780307, -122.481516 37.780226, -122.48166 37.78216, -122.48059 37.782212, -122.480451 37.78028))"
76,2001,6.08E+13,75,61,N,6,32902,"POLYGON ((-122.487183 37.753769, -122.487053 37.751903, -122.488143 37.751854, -122.488264 37.753721, -122.487183 37.753769))"
77,3001,6.08E+13,75,61,N,6,32902,"POLYGON ((-122.487053 37.751903, -122.486923 37.750037, -122.487996 37.74999, -122.488143 37.751854, -122.487053 37.751903))"
78,1002,6.08E+13,75,66,N,6,32901,"POLYGON ((-122.487996 37.74999, -122.487866 37.748125, -122.488936 37.748078, -122.489066 37.749943, -122.487996 37.74999))"
79,3000,6.08E+13,75,54,N,6,32901,"POLYGON ((-122.485597 37.746354, -122.485466 37.744493, -122.486536 37.744446, -122.486663 37.746307, -122.485597 37.746354))"
80,5007,6.08E+13,75,70,N,6,33000,"POLYGON ((-122.492837 37.742296, -122.492706 37.740427, -122.493775 37.74038, -122.493907 37.742249, -122.492837 37.742296))"
81,6008,6.08E+13,75,0,N,6,33000,"POLYGON ((-122.493775 37.74038, -122.493651 37.73862099999999, -122.493668 37.738519, -122.494181 37.738496, -122.494118 37.738597, -122.494235 37.740291, -122.494313 37.740356, -122.493775 37.74038))"
82,4004,6.08E+13,75,48,N,6,32901,"POLYGON ((-122.48975 37.744304, -122.48962 37.742437, -122.490692 37.74239, -122.490822 37.744257, -122.48975 37.744304))"
83,6006,6.08E+13,75,70,N,6,33000,"POLYGON ((-122.491635 37.740475, -122.49151 37.738718, -122.491524 37.738614, -122.492576 37.738568, -122.492706 37.740427, -122.491635 37.740475))"
84,6005,6.08E+13,75,66,N,6,33000,"POLYGON ((-122.491635 37.740475, -122.490562 37.740522, -122.490432 37.738663, -122.491524 37.738614, -122.49151 37.738718, -122.491635 37.740475))"
85,4022,6.08E+13,75,0,N,6,33000,"POLYGON ((-122.49354 37.736706, -122.493407 37.734856, -122.493857 37.735028, -122.493973 37.736562, -122.494054 37.736635, -122.49354 37.736706))"
86,4011,6.08E+13,75,36,N,6,33000,"POLYGON ((-122.491335 37.737293, -122.491567 37.737274, -122.491943 37.737223, -122.492471 37.737069, -122.492576 37.738568, -122.491524 37.738614, -122.491544 37.738463, -122.491468 37.737385, -122.491335 37.737293))"
87,2004,6.08E+13,75,27,N,6,30400,"POLYGON ((-122.463762 37.748607, -122.463913 37.748442, -122.464167 37.748126, -122.464377 37.74778999999999, -122.465178 37.748007, -122.465122 37.74813, -122.464996 37.74833, -122.4648 37.748597, -122.464704 37.748831, -122.464671 37.74891, -122.464658 37.749061, -122.464725 37.749286, -122.464849 37.749492, -122.465043 37.749645, -122.464251 37.749691, -122.464051 37.749634, -122.463967 37.749569, -122.463922 37.749533, -122.463878 37.749404, -122.463864 37.749031, -122.463819 37.748784, -122.463762 37.748607))"
88,2009,6.08E+13,75,0,N,6,31302,"POLYGON ((-122.470443 37.713028, -122.470301 37.71291799999999, -122.469993 37.712781, -122.470331 37.712812, -122.470895 37.712806, -122.471163 37.712804, -122.471203 37.712997, -122.471267 37.713311, -122.471435 37.713996, -122.471584 37.714472, -122.471217 37.713679, -122.471091 37.713536, -122.470987 37.713446, -122.470443 37.713028))"
89,1021,6.08E+13,75,17,N,6,30400,"POLYGON ((-122.46171 37.746362, -122.461801 37.74634, -122.462078 37.746123, -122.462851 37.746757, -122.462762 37.746852, -122.462781 37.747, -122.462769 37.747158, -122.462708 37.747346, -122.462618 37.747509, -122.462477 37.747652, -122.462333 37.747777, -122.461776 37.747321, -122.461877 37.747112, -122.46186 37.7469, -122.46171 37.746362))"
90,1015,6.08E+13,75,0,N,6,30400,"POLYGON ((-122.461651 37.745786, -122.461744 37.74578899999999, -122.461843 37.745857, -122.462008 37.745897, -122.462166 37.7459, -122.462333 37.745879, -122.46219 37.745914, -122.46179 37.746227, -122.46171 37.746362, -122.461778 37.746187, -122.461771 37.746036, -122.46172 37.745912, -122.461647 37.745845, -122.461651 37.745786))"
91,1006,6.08E+13,75,10,N,6,30600,"POLYGON ((-122.457917 37.745835, -122.458283 37.746243, -122.458288 37.746322, -122.458606 37.746683, -122.458645 37.746728, -122.458729 37.746755, -122.45861 37.746752, -122.4585 37.746782, -122.45795 37.746779, -122.457255 37.746672, -122.457167 37.74669799999999, -122.457233 37.746485, -122.457303 37.746407, -122.457917 37.745835))"
92,4006,6.08E+13,75,29,N,6,30800,"POLYGON ((-122.468267 37.740022, -122.467997 37.740006, -122.469667 37.738505, -122.469852 37.738685, -122.469947 37.738933, -122.469975 37.739564, -122.469666 37.739633, -122.469194 37.739853, -122.468815 37.739952, -122.468342 37.740027, -122.468267 37.740022))"
93,1017,6.08E+13,75,27,N,6,30400,"POLYGON ((-122.463686 37.743749, -122.464737 37.743659, -122.465807 37.743574, -122.466043 37.743555, -122.466138 37.744281, -122.464161 37.744445, -122.463686 37.743749))"
