,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
2130,165,1978,0,5638,0.477737035,200,0.46723356
2131,165,1978,0,5638,0.477737035,200,0.438612835
2132,149,1978,0,5638,0.477737035,200,0.632034652
2133,149,1978,0,5638,0.477737035,200,0.77734127
2134,149,1978,0,5638,0.477737035,200,0.712370709
2135,8,1356,0,0,0.551005212,0,0.834419131
2136,6,1356,0,0,0.551005212,0,0.674841742
2137,26,2037,0,0,0.429926238,0,0.428957645
2138,20,2037,0,0,0.429926238,0,0.699431964
2139,78,2037,0,0,0.429926238,0,0.680182351
2140,30,2037,0,0,0.429926238,0,0.433047829
2141,80,2405,0,0,0.430121528,0,0.80792552
2142,6,2405,0,0,0.430121528,0,0.817148651
2143,8,2405,0,0,0.430121528,0,0.693294123
2144,11,2037,0,0,0.429926238,0,0.643941802
2146,13,2037,0,0,0.429926238,0,0.649653928
2147,30,1978,0,0,0.477737035,200,0.429220895
2148,5,2037,0,0,0.429926238,0,0.424386643
2149,4,2037,0,0,0.429926238,0,0.644155062
2150,17,2248,0,0,0.519512195,0,0.761380044
2151,17,2248,0,0,0.519512195,0,0.946253124
2153,42,2248,0,0,0.519512195,0,0.797694212
2154,512,1058,0,0,0.443743428,200,0.528847978
2155,631,2259,0,0,0.589130435,0,0.331372565
2156,702,1058,0,0,0.443743428,200,0.628100456
2158,442,2248,0,0,0.519512195,375,0.757931896
2159,442,2248,0,0,0.519512195,375,0.944441801
2160,89,2259,0,0,0.589130435,0,0.458092979
2161,84,2259,0,0,0.589130435,0,0.604924933
2162,120,3420,0,0,0.281198551,0,0.510725943
2163,118,3420,0,0,0.281198551,0,0.645121269
2164,118,3420,0,0,0.281198551,0,0.584922161
2165,103,3420,0,0,0.281198551,200,0.510931187
2166,106,3420,0,0,0.281198551,200,0.722780185
2168,206,2248,0,0,0.519512195,0,0.739681384
2169,206,2248,0,0,0.519512195,0,0.940906448
2170,343,1964,0,0,0.343089431,166,0.522490582
2171,301,1964,0,0,0.343089431,200,0.678031752
2172,637,2390,0,0,0.172967864,200,0.491388249
2173,545,3420,0,0,0.281198551,200,0.734100292
2174,157,2547,0,0,0.37755102,200,0.589479439
2175,126,2547,0,0,0.37755102,0,0.524924296
2176,270,1964,0,0,0.343089431,200,0.564845913
2177,419,1964,0,0,0.343089431,200,0.551342638
2178,160,2259,0,0,0.589130435,0,0.450722151
2179,248,3420,0,0,0.281198551,0,0.531033695
2180,235,3420,0,0,0.281198551,200,0.572989019
2182,49,2248,0,0,0.519512195,0,0.790183201
2183,611,1964,0,0,0.343089431,200,0.576380375
2184,608,2547,0,0,0.37755102,200,0.537476971
2185,627,1058,0,0,0.443743428,200,0.664913658
2186,779,1058,0,0,0.443743428,200,0.455312216
2187,718,2390,0,0,0.172967864,200,0.699271057
2188,718,2390,0,0,0.172967864,200,0.730176367
2189,18,793,0,0,0.264150943,200,0.740012844
2190,18,793,0,0,0.264150943,200,0.788936372
2191,572,2444,0,0,0.518923849,0,0.50890529
2192,572,2444,0,0,0.518923849,0,0.541103328
2193,462,2444,0,0,0.518923849,200,0.810826028
2194,462,2444,0,0,0.518923849,200,0.714174271
2195,11,1020,0,0,0.357433809,0,0.579390681
2196,,148,0,0,0.378378378,0,0.429009811
2197,30,4372,0,0,0.459196102,0,0.508256579
2198,3,4372,0,0,0.459196102,0,0.512895477
2199,58,1575,0,0,0.625181951,0,0.648974643
2200,24,1575,0,0,0.625181951,0,0.651424108
2201,18773,1805,656,8939,0.631472764,393,0.621574824
2202,18773,1805,656,8939,0.631472764,393,0.793762183
2203,18773,1805,656,8939,0.631472764,393,0.660658352
2204,18773,1805,656,8939,0.631472764,393,0.25
2206,18773,1805,656,8939,0.631472764,393,0.509803922
2208,27,2405,0,0,0.430121528,0,0.755081889
2209,17,2405,0,0,0.430121528,0,0.755161941
2210,73,2037,0,0,0.429926238,0,0.762261306
2211,31,1397,0,0,0.051428571,0,0.430731833
2212,360,2211,0,0,0.214778325,0,0.629672197
2213,387,3007,0,0,0.103905674,0,0.707825647
2214,120,3420,0,0,0.281198551,0,0.724571819
2215,695,2211,0,0,0.214778325,75,0.628951478
2216,692,3007,0,0,0.103905674,125,0.737599624
2217,377,2211,0,0,0.214778325,0,0.675399473
2218,386,3007,0,0,0.103905674,100,0.675917105
2219,961,4569,0,0,0.034734458,300,0.645494906
2220,923,4775,0,0,0.003761284,313,0.625754321
2221,1183,4569,0,0,0.034734458,206,0.6526421
2222,1046,4569,0,0,0.034734458,300,0.704757975
2223,1046,4569,0,0,0.034734458,300,0.646733793
2224,651,4775,0,0,0.003761284,300,0.646925663
2225,251,2211,0,0,0.214778325,0,0.649584167
2226,252,3007,0,0,0.103905674,100,0.683907151
2227,5480,4775,3316,0,0.003761284,350,0.618381871
2228,148,3420,0,0,0.281198551,0,0.591183883
2229,151,3420,0,0,0.281198551,0,0.723329604
2230,1048,4569,0,0,0.034734458,206,0.650353403
2231,1090,4569,0,0,0.034734458,300,0.711803965
2232,1090,4569,0,0,0.034734458,300,0.652552295
2233,148,3420,0,0,0.281198551,0,0.587716632
2234,147,3420,0,0,0.281198551,0,0.716572211
2235,755,4775,0,0,0.003761284,350,0.620179843
2236,1746,4569,0,0,0.034734458,218,0.671784656
2237,1567,4569,0,0,0.034734458,231,0.673234979
2238,775,4339,0,0,0.094522378,223,0.533450834
2239,506,4339,0,0,0.094522378,223,0.516494158
2240,2163,4339,0,0,0.094522378,313,0.549860332
2241,508,2036,0,0,0.248434238,249,0.837625412
2242,577,2036,0,0,0.248434238,250,0.829981614
2243,1592,5228,1476,0,0.572901325,396,0.726365658
2244,1592,5228,1476,0,0.572901325,396,0.738746439
2245,2573,5228,1476,0,0.572901325,475,0.673970475
2246,2573,5228,1476,0,0.572901325,475,0.506410256
2247,1006,1107,0,0,0.537463977,361,0.710534622
2248,1006,1107,0,0,0.537463977,361,0.794301994
2249,1427,5228,0,0,0.572901325,396,0.643891315
2250,1427,5228,0,0,0.572901325,396,0.547542735
2251,1607,1805,0,0,0.631472764,117,0.705083848
2252,1421,1107,0,0,0.537463977,361,0.6500957
2253,5641,1805,0,0,0.631472764,350,0.690963291
2254,156,1805,0,0,0.631472764,117,0.649479843
2255,250,1805,0,0,0.631472764,117,0.614315413
2256,531,1805,0,0,0.631472764,408,0.676291319
2257,585,1805,0,0,0.631472764,240,0.831765056
2258,340,5228,734.5,0,0.572901325,200,0.488247863
2259,157,1805,0,0,0.631472764,408,0.663685478
2260,150,1522,0,0,0.468336813,0,0.652073885
2261,124,1522,0,0,0.468336813,0,0.638978647
2262,115,1522,0,0,0.468336813,0,0.641954837
2263,25,1522,0,0,0.468336813,0,0.868063661
2264,23,1575,0,0,0.625181951,0,0.648502457
2265,13,1575,0,0,0.625181951,0,0.86996255
2266,19,1575,0,0,0.625181951,0,0.657759354
2267,33,1575,0,0,0.625181951,0,0.86919377
2268,116,1522,0,0,0.468336813,0,0.616558012
2269,399,2380,569.5,0,0.633362294,200,0.686652743
2271,277,2380,569.5,0,0.633362294,0,0.503074144
2272,253,2380,624.5,0,0.633362294,0,0.498991803
2273,226,400,551,0,0.213296399,0,0.47301261
