,ROUTE_SHORT_NAME,DIR,STOPNAME,STOP_ID
171,1,0,Sacramento St & Stockton St  ,6316
172,1,0,Sacramento St & Van Ness Ave  ,6317
2478,3,1,Sacramento St & Walnut St   ,6318
173,1,0,Sacramento St & Webster St  ,6319
226,1,1,Sacramento St & Webster St  ,6320
4714,54,1,Sagamore St & Capitol Ave  ,6323
4615,54,0,Sagamore St & Capitol Ave  ,6322
4715,54,1,Sagamore St & Orizaba Ave  ,6324
1663,23,0,Saint Francis Blvd & San Fernando Way,6507
1733,23,1,Saint Francis Blvd & San Fernando Way,6508
1734,23,1,Saint Francis Blvd & Santa Ana Ave,6506
1664,23,0,Saint Francis Blvd & Santa Ana Ave,6505
1735,23,1,Saint Francis Blvd & Santa Clara Ave,6504
6413,9L,1,San Bruno Ave & Arleta Ave  ,6352
5506,8AX,1,San Bruno Ave & Arleta Ave  ,6352
5928,90,1,San Bruno Ave & Arleta Ave  ,6352
4762,56,1,San Bruno Ave & Arleta Ave  ,6352
6523,9X,1,San Bruno Ave & Arleta Ave  ,6352
5880,90,0,San Bruno Ave & Arleta Ave  ,6353
4739,56,0,San Bruno Ave & Arleta Ave  ,6352
6270,9AX,1,San Bruno Ave & Arleta Ave  ,6352
5710,8X,1,San Bruno Ave & Arleta Ave  ,6352
5838,9,1,San Bruno Ave & Arleta Ave  ,6352
5507,8AX,1,San Bruno Ave & Bacon St  ,6355
5711,8X,1,San Bruno Ave & Bacon St  ,6355
5839,9,1,San Bruno Ave & Bacon St  ,6355
6414,9L,1,San Bruno Ave & Bacon St  ,6355
5881,90,0,San Bruno Ave & Bacon St   ,6357
6221,9AX,0,San Bruno Ave & Bacon St   ,6357
5775,9,0,San Bruno Ave & Bacon St   ,6357
6393,9L,0,San Bruno Ave & Bacon St   ,6357
6452,9X,0,San Bruno Ave & Bacon St   ,6357
5929,90,1,San Bruno Ave & Bacon St   ,6354
5646,8X,0,San Bruno Ave & Bacon St   ,6357
5476,8AX,0,San Bruno Ave & Bacon St   ,6357
5882,90,0,San Bruno Ave & Dwight St  ,6358
6394,9L,0,San Bruno Ave & Dwight St  ,6358
5776,9,0,San Bruno Ave & Dwight St  ,6358
5477,8AX,0,San Bruno Ave & Dwight St  ,6358
6453,9X,0,San Bruno Ave & Dwight St  ,6358
5647,8X,0,San Bruno Ave & Dwight St  ,6358
6222,9AX,0,San Bruno Ave & Dwight St  ,6358
6454,9X,0,San Bruno Ave & Felton St   ,6359
5648,8X,0,San Bruno Ave & Felton St   ,6359
5478,8AX,0,San Bruno Ave & Felton St   ,6359
6223,9AX,0,San Bruno Ave & Felton St   ,6359
5777,9,0,San Bruno Ave & Felton St   ,6359
5883,90,0,San Bruno Ave & Felton St   ,6359
6455,9X,0,San Bruno Ave & Mansell St  ,6361
6224,9AX,0,San Bruno Ave & Mansell St  ,6361
5649,8X,0,San Bruno Ave & Mansell St  ,6361
5479,8AX,0,San Bruno Ave & Mansell St  ,6361
5778,9,0,San Bruno Ave & Mansell St  ,6361
5884,90,0,San Bruno Ave & Mansell St  ,6361
5930,90,1,San Bruno Ave & Mansell St   ,6360
6524,9X,1,San Bruno Ave & Mansell St   ,6360
6271,9AX,1,San Bruno Ave & Mansell St   ,6360
5712,8X,1,San Bruno Ave & Mansell St   ,6360
5508,8AX,1,San Bruno Ave & Mansell St   ,6360
5840,9,1,San Bruno Ave & Mansell St   ,6360
2287,29,0,San Bruno Ave & Paul Ave  ,6363
5931,90,1,San Bruno Ave & Paul Ave   ,6362
6415,9L,1,San Bruno Ave & Paul Ave   ,6362
6525,9X,1,San Bruno Ave & Paul Ave   ,6362
6272,9AX,1,San Bruno Ave & Paul Ave   ,6362
5509,8AX,1,San Bruno Ave & Paul Ave   ,6362
5713,8X,1,San Bruno Ave & Paul Ave   ,6362
5841,9,1,San Bruno Ave & Paul Ave   ,6362
5885,90,0,San Bruno Ave & Silver Ave   ,6365
5842,9,1,San Bruno Ave & Silver Ave   ,6364
5779,9,0,San Bruno Ave & Silver Ave   ,6365
6395,9L,0,San Bruno Ave & Silver Ave   ,6364
5932,90,1,San Bruno Ave & Silver Ave   ,6364
6416,9L,1,San Bruno Ave & Silver Ave   ,6365
5510,8AX,1,San Bruno Ave & Silver Ave   ,6364
5714,8X,1,San Bruno Ave & Silver Ave   ,6364
5480,8AX,0,San Bruno Ave & Somerset St  ,6366
5886,90,0,San Bruno Ave & Somerset St  ,6366
6456,9X,0,San Bruno Ave & Somerset St  ,6366
5780,9,0,San Bruno Ave & Somerset St  ,6366
5650,8X,0,San Bruno Ave & Somerset St  ,6366
6225,9AX,0,San Bruno Ave & Somerset St  ,6366
