,EDD_EMP,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5,
89,104,0,0,0.354140915,200,0.245743675,
90,248,0,0,0.354140915,200,0.740851069,
91,248,0,0,0.354140915,200,0.518487047,
92,248,0,0,0.354140915,200,0.241874627,
93,257,0,0,0.334615385,200,0.597577255,
94,257,0,0,0.334615385,200,0.73450301,
95,257,0,0,0.334615385,200,0.587926351,
96,94,0,0,0.391815081,0,0.731876331,
97,94,0,0,0.391815081,0,0.514938322,
98,94,0,0,0.391815081,0,0.236347416,
99,95,0,0,0.391815081,0,0.598569605,
100,95,0,0,0.391815081,0,0.727961255,
101,95,0,0,0.391815081,0,0.608373799,
102,153,0,0,0.391815081,0,0.707495986,
103,153,0,0,0.391815081,0,0.495232309,
104,153,0,0,0.391815081,0,0.233632295,
105,141,0,0,0.391815081,0,0.614823013,
106,141,0,0,0.391815081,0,0.762572857,
107,141,0,0,0.391815081,0,0.700524687,
108,65,0,0,0.346882217,0,0.524096367,
109,65,0,0,0.346882217,0,0.330936819,
110,53,0,0,0.370505234,0,0.517362431,
111,53,0,0,0.370505234,0,0.304617198,
112,50,0,0,0.370505234,0,0.702223301,
113,50,0,0,0.370505234,0,0.520702861,
114,84,0,0,0.531591449,0,0.49103217,
115,84,0,0,0.531591449,0,0.432931069,
116,43,0,0,0.531591449,0,0.491710358,
117,43,0,0,0.531591449,0,0.074880952,
118,242,0,0,0.531591449,375,0.517463679,
119,242,0,0,0.531591449,375,0.461264402,
120,170,0,0,0.531591449,0,0.484758044,
121,100,0,0,0.531591449,0,0.488932823,
122,100,0,0,0.531591449,0,0.46963357,
123,1850,0,0,0.230235043,281,0.770653019,
124,1850,0,0,0.230235043,281,0.776335288,
125,1609,0,0,0.230235043,270,0.745230042,
126,1609,0,0,0.230235043,270,0.745638726,
127,39,0,0,0.728435823,0,0.616627209,
128,40,0,0,0.728435823,0,0.654830891,
129,2040,0,0,0.138087387,268,0.787043731,
130,2040,0,0,0.138087387,268,0.778304689,
131,14084,12296.35,8379.5,0.651525707,350,0.50551253,
132,14084,12296.35,8379.5,0.651525707,350,0.424040089,
133,14084,12296.35,8379.5,0.651525707,350,0.550347584,
134,14084,12296.35,8379.5,0.651525707,350,0.630129437,
135,14084,12296.35,8379.5,0.651525707,350,0.510519662,
136,14084,12296.35,8379.5,0.651525707,350,0.510507361,
137,14084,12296.35,8379.5,0.651525707,350,0.483367971,
138,14084,12296.35,8379.5,0.651525707,350,,
139,14084,12296.35,8379.5,0.651525707,350,,
140,14084,12296.35,8379.5,0.651525707,350,,
141,100,0,0,0.531591449,0,0.446809496,
142,563,0,0,0.594646272,553,0.800662075,
143,563,0,0,0.594646272,553,0.566525235,
144,106,0,0,0.531591449,0,0.436710891,
145,28,0,0,0.588865096,0,0.733743561,
146,300,993.45,0,0.760368664,0,0.593148,
147,301,993.45,0,0.760368664,0,0.686514009,
148,847,682.3,0,0.760368664,0,0.591537356,
149,735,682.3,0,0.760368664,0,0.623262124,
150,238,718.8,0,0.205764612,200,0.459519881,
151,3128,0,0,0.651525707,252,0.599507255,
152,3128,0,0,0.651525707,252,0.697877691,
153,3128,0,0,0.651525707,252,0.481065019,
154,205,435.4,0,0.343646409,0,0.420430661,
155,191,435.4,0,0.174746336,0,0.614970173,
156,282,625.8,0,0.486486486,0,0.527449289,
157,6726,0,0,0.651525707,174,0.53067592,
158,6726,0,0,0.651525707,174,0.558152414,
159,6726,0,0,0.651525707,174,0.336214963,
160,6726,0,0,0.651525707,174,0.441150719,
161,6726,0,0,0.651525707,174,0.235024565,
162,6726,0,0,0.651525707,174,0.520850674,
163,223,440,0,0.182675815,0,0.523290419,
164,223,440,0,0.182675815,0,0.600049094,
165,4838,0,0,0.651525707,174,0.541841699,
166,4838,0,0,0.651525707,174,0.559247189,
167,4838,0,0,0.651525707,174,0.336214963,
168,4838,0,0,0.651525707,174,0.441150719,
169,4838,0,0,0.651525707,174,0.228647014,
170,4838,0,0,0.651525707,174,0.529704215,
171,186,440,0,0.486486486,0,0.772283636,
172,186,440,0,0.486486486,0,0.520433756,
173,175,678.6,0,0.182675815,0,0.507896263,
174,175,678.6,0,0.182675815,0,0.619579313,
175,170,678.6,0,0.182675815,0,0.746766289,
176,170,678.6,0,0.182675815,0,0.507823089,
177,2173,0,0,0.651525707,296,0.547445651,
178,2173,0,0,0.651525707,296,0.60380375,
179,2173,0,0,0.651525707,296,0.349622579,
180,2173,0,0,0.651525707,296,,
181,2173,0,0,0.651525707,296,0.509068168,
182,2173,0,0,0.651525707,296,0.274281935,
183,2173,0,0,0.651525707,296,0.545078698,
184,120,1212.45,0,0.182675815,0,0.712171178,
185,120,1212.45,0,0.182675815,0,0.793088659,
186,120,1212.45,0,0.182675815,0,0.533287294,
187,120,1212.45,0,0.182675815,0,0.642614638,
188,329,1212.45,0,0.182675815,200,0.752220488,
189,329,1212.45,0,0.182675815,200,0.468302855,
190,1745,0,0,0.651525707,171,0.483096721,
191,1745,0,0,0.651525707,171,0.455452157,
192,1745,0,0,0.651525707,171,0.363240905,
193,1745,0,0,0.651525707,171,0.459537211,
194,1745,0,0,0.651525707,171,0.246315193,
195,1745,0,0,0.651525707,171,0.530681273,
196,238,718.8,0,0.205764612,200,0.629984142,
197,106,0,0,0.343646409,0,0.432767058,
198,257,901.6,0,0.205764612,0,0.605629956,
199,301,901.6,0,0.343646409,0,0.404492183,
200,21,496.05,0,0.518356279,129,0.584728817,
201,7688,0,6343,0.224738252,213,0.13897037,
202,7688,0,6343,0.224738252,213,0.443634604,
203,1609,4597.95,0,0.657228018,173,0.531570265,
204,1609,4597.95,0,0.657228018,173,,
205,1609,4597.95,0,0.657228018,173,0.515357143,
206,1743,4597.95,0,0.518356279,198,,
207,1743,4597.95,0,0.518356279,198,,
208,1743,4597.95,0,0.518356279,198,0.615984449,
209,1743,4597.95,0,0.518356279,198,0.580785648,
210,1076,0,0,0.657228018,128,0.83505025,
211,10497,0,0,0.401205937,218,0.577927518,
212,10497,0,0,0.401205937,218,0.329398443,
213,10497,0,0,0.401205937,218,0.642049905,
214,10497,0,0,0.401205937,218,0.505991417,
215,10497,0,0,0.401205937,218,0.337187544,
216,10497,0,0,0.401205937,218,0.315389748,
217,10497,0,0,0.401205937,218,0.769805422,
218,1835,0,0,0.202846975,303,0.468297338,
219,1832,0,0,0.401205937,300,0.57886762,
220,1832,0,0,0.401205937,300,0.487174714,
221,1832,0,0,0.401205937,300,0.521547216,
222,1832,0,0,0.401205937,300,0.532835858,
223,1832,0,0,0.401205937,300,0.388332635,
224,1832,0,0,0.401205937,300,0.343280655,
225,1832,0,0,0.401205937,300,0.773376851,
226,6081,0,0,0.224738252,213,0.478580038,
227,3177,0,0,0.224738252,213,0.601151844,
228,3177,0,0,0.224738252,213,0.546933876,
229,3177,0,0,0.224738252,213,0.447915794,
230,3177,0,0,0.224738252,213,0.387819085,
231,3177,0,0,0.224738252,213,0.689272839,
232,895,0,0,0.657228018,173,0.862929074,
233,182,0,0,0.346882217,200,0.511586478,
234,181,0,0,0.398907104,200,0.700498829,
235,599,0,0,0.436688312,200,0.711691031,
236,305,0,0,0.436495594,200,0.562083333,
237,42,0,0,0.346882217,0,0.544506116,
238,377,0,0,0.346882217,200,0.517203279,
239,382,0,0,0.398907104,200,0.746422242,
240,451,0,0,0.401205937,200,0.644952381,
241,6,0,0,0.543771044,0,0.369148961,
242,6,0,0,0.543771044,0,0.65812866,
243,6,0,0,0.543771044,0,0.750752732,
244,7,0,0,0.558595531,0,0.50725782,
245,7,0,0,0.558595531,0,0.496611445,
246,1384,0,0,0.657228018,200,0.464799164,
247,854,0,0,0.401205937,300,0.373701259,
248,545,0,0,0.401205937,200,0.402943856,
249,982,0,0,0.401205937,300,0.355934706,
250,968,0,0,0.224738252,300,0.350658653,
251,1523,0,0,0.224738252,300,0.481393215,
252,1828,0,0,0.657228018,138,0.520631303,
253,138,0,0,0.398907104,0,0.480873136,
254,42,0,0,0.398907104,0,0.515664398,
255,42,0,0,0.398907104,0,0.674289226,
256,2115,0,0,0.657228018,200,0.489136116,
257,411,0,0,0.657228018,0,0.503575639,
258,1100,0,0,0.401205937,200,0.519162216,
259,340,0,0,0.657228018,0,0.517230515,
260,707,0,0,0.224738252,300,0.549531642,
261,1702,10344,6323,0.224738252,300,0.584659653,
262,1702,10344,6323,0.224738252,300,0.698378815,
263,1907,0,0,0.657228018,200,0.492317923,
264,953,1459.4,0,0.469416785,194,0.561117267,
265,953,1459.4,0,0.469416785,200,0.807501025,
