,ROUTE_SHORT_NAME,DIR,LOG_RIDERS_09,EDD_EMP_LOG_09,STOP_ID,AVG_RIDE_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,ONTIME5.1,TRANSBAY_09,MUNI_RAIL_AVG_09,LOG_RIDERS_16,EDD_EMP_LOG_16,AVG_RIDE_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
1074,30X,1,3.7253437430000003,7.755338813,4110,40.48549064,2.332801835,0.0,6.493388952999999,-1.11e-16,5.918893853999999,0.682323474,0.0,1,0,1,0.682323474,0,0.0,4.6467539596625125,8.17103418920548,103.24604889391655,2.382390459665681,0.0,6.5269620895481095,0.0412573673870334,5.918893854273146,0.3324267284165475,0.0,1,0,1,0.0,0.0
1075,41,1,2.853146645,7.755338813,4110,16.34226603,1.438723374,0.0,6.493388952999999,-1.11e-16,5.918893853999999,0.553643249,0.0,1,0,0,0.553643249,0,0.0,3.502840546703472,8.17103418920548,32.20965167259183,1.5837588980164088,0.0,6.5269620895481095,0.0412573673870334,5.918893854273146,0.6494004317876497,0.0,1,0,0,0.0,0.0
1076,41,0,3.464755971,7.473637107999999,4111,30.96865755,1.349235489,0.0,7.109937885,0.23447118100000003,5.641907071,0.655258343,0.0,1,0,0,0.655258343,0,0.0,3.5412255906386916,7.641084249174915,33.509187420844924,1.5059319475793718,0.0,7.109937885261713,0.2302350427350427,5.641907070938113,0.5789309681523146,0.0,1,0,0,0.0,0.0
1077,30,1,5.032795473,5.710427017000001,4114,152.3611309,2.105788066,0.0,6.678453125,0.451887294,5.303304908,0.612346123,0.0,1,0,0,0.612346123,0,0.0,5.019991665176061,6.154858094016419,150.41004181275252,2.037376567772778,0.0,6.677887660959313,0.42906403940886695,5.303304908059076,0.6413046785970785,0.0,1,0,0,0.0,0.0
1078,91,0,0.582435374,5.710427017000001,4114,0.7903934029999999,1.098612289,0.0,6.678453125,0.451887294,5.303304908,0.56969443,0.0,1,0,0,0.56969443,0,0.0,0.5839734815692628,6.154858094016419,0.7931493397135947,1.0986122886681098,0.0,6.677887660959313,0.42906403940886695,5.303304908059076,0.5174077038222696,0.0,1,0,0,0.0,0.0
1079,30,0,5.425294732999999,5.669880922999999,4115,226.07826380000003,1.7886732330000001,0.0,6.51834471,0.39011651299999994,5.303304908,0.698565288,0.0,0,0,0,0.698565288,0,0.0,5.01198508807156,6.089044875446847,149.2026058035808,2.009419817513075,0.0,6.519211481570232,0.5655064528744622,5.303304908059076,0.4599076102007478,0.0,0,0,0,0.0,0.0
1080,91,1,1.5770782030000001,5.669880922999999,4115,3.840791317,1.170071253,0.0,6.51834471,0.39011651299999994,5.303304908,0.35149159700000004,0.0,1,0,0,0.35149159700000004,0,0.0,1.3371064025046038,6.089044875446847,2.8080087034813923,1.0986122886681098,0.0,6.519211481570232,0.5655064528744622,5.303304908059076,0.5239583981740844,0.0,1,0,0,0.0,0.0
1081,30,0,5.268175835,6.857514062999999,4116,193.0616389,1.788706519,0.0,5.476452657,0.248434238,6.008813185,0.6698018139999999,0.0,1,0,0,0.6698018139999999,0,0.0,4.911511665829547,6.831953565565856,134.84461093157725,2.009407037281192,0.0,5.476452657299969,0.3552952659834065,6.008813185442595,0.4312301373669585,0.0,1,0,0,0.0,0.0
1082,91,1,1.90797126,6.857514062999999,4116,5.739402427999999,1.170071253,0.0,5.476452657,0.248434238,6.008813185,0.332301587,0.0,1,0,0,0.332301587,0,0.0,1.7113705909779093,6.831953565565856,4.536544617847139,1.0986122886681098,0.0,5.476452657299969,0.3552952659834065,6.008813185442595,0.5554251330161694,0.0,1,0,0,0.0,0.0
1083,41,1,4.158446768999999,7.577121931000001,4117,62.97208196,1.4398759769999998,0.0,7.273937527,0.09798708699999999,5.1984970310000005,0.623253175,0.0,1,0,0,0.623253175,0,0.0,4.162578686480301,7.8103526837242905,63.236956178030404,1.5857395340965894,0.0,7.275079608924603,0.13808738664468256,5.198497031265826,0.7919204410877344,0.0,1,0,0,0.0,0.0
