,ROUTE_SHORT_NAME,DIR,LOG_RIDERS,EDD_EMP_LOG,STOP_ID,AVG_RIDE,FREQ_S_LOG,EOL_SOL,HOUSING_09_DEN_LOG,SHR_INCOME_100P,PARK_HOURLY_AVG_ON_LOG,ONTIME5,AVG_BART_LOG,CLOSE_STOP,LIMITED,EXPRESS,ONTIME5.1,TRANSBAY,MUNI_RAIL_AVG
2912,37,0,3.332278832,1.386294361,4904,27.00208108,1.489175111,0,4.717025607,0.459196102,0,0.507055436,0,1,0,0,0.507055436,0,0
2913,1,1,5.082433422,3.526360525,4905,160.1657634,1.999024795,0,6.776753347,0.529889299,0,0.681874695,0,1,0,0,0.681874695,0,0
2914,29,0,4.073833032,2.890371758,4908,57.78184404,1.77079817,0,5.675069045,0.318926297,0,0.524342638,0,1,0,0,0.524342638,0,0
2915,29,0,3.190730944,3.295836866,4910,23.30618741,1.770824864,0,5.669030054,0.318926297,0,0.501800991,0,1,0,0,0.501800991,0,0
2916,54,0,3.150468201,3.33220451,4911,22.3469931,1.331599703,0,5.603643927,0.318926297,0,0.522631521,0,1,0,0,0.522631521,0,0
2917,29,0,3.981211688,3.63758616,4912,52.58191946,1.770771907,0,5.561874377,0.318926297,0,0.537017008,0,1,0,0,0.537017008,0,0
2918,54,1,2.34579699,3.433987204,4913,9.441591257,1.330563583,0,5.687801239,0.318926297,0,0.66933966,0,1,0,0,0.66933966,0,0
2919,29,0,4.466688971,3.295836866,4915,86.06796069,1.770840961,0,5.716180843,0.318926297,0,0.495198473,0,1,0,0,0.495198473,0,0
2920,17,1,2.742609245,1.791759469,4916,14.52744721,1.248070559,0,5.664067933,0.210778443,0,0.629838341,0,1,0,0,0.629838341,0,0
2921,17,1,2.261815381,1.386294361,4917,8.600501929,1.248182057,0,5.568312535,0.210778443,0,0.601164422,0,1,0,0,0.601164422,0,0
2922,17,1,2.163082736,2.302585093,4918,7.697909729,1.248116467,0,5.199194429,0.210778443,0,0.616494509,0,1,0,0,0.616494509,0,0
2924,24,1,0,5.758901774,4919,0,1.945910149,1,6.149536672,0.474654378,5.129898715,0.833333333,0,1,0,0,0.833333333,0,0
2925,41,0,0.272522754,5.758901774,4919,0.313273341,1.768979441,1,6.149536672,0.474654378,5.129898715,0,0,1,0,0,0,0,0
2926,41,1,0.964626409,5.758901774,4919,1.623807243,2.197224577,1,6.149536672,0.474654378,5.129898715,0.693055556,0,1,0,0,0.693055556,0,0
2927,21,1,4.519080622,7.018401799,4920,90.75120515,1.834916355,0,6.40075966,0.152932442,5.860786223,0.749376899,0,1,0,0,0.749376899,0,0
2928,21,1,3.50176162,5.814130532,4921,32.17384022,1.83470074,0,6.594956839,0.152932442,0,0.757182776,0,1,0,0,0.757182776,0,0
2929,21,1,5.277253906,7.369600721,4923,194.831365,1.835194662,0,4.69688752,0.034734458,5.545177444,0.757560016,0,1,0,0,0.757560016,0,0
2930,48,1,2.080506824,2.48490665,4924,7.008526797,1.344964661,0,5.925080319,0.625181951,0,0.655124886,0,1,0,0,0.655124886,0,0
2931,48,1,2.587608644,1.945910149,4925,12.29793346,1.344964661,0,6.034560151,0.625181951,0,0.658282374,0,1,0,0,0.658282374,0,0
2932,48,0,3.069510642,2.63905733,4926,20.53136355,1.353189217,0,6.135241193,0.459196102,0,0.453392389,0,1,0,0,0.453392389,0,0
2933,48,1,2.599329904,2.397895273,4927,12.45471906,1.344964661,0,6.063824257,0.625181951,0,0.659523304,0,1,0,0,0.659523304,0,0
2934,48,0,2.407675196,2.302585093,4928,10.10810693,1.353087885,0,5.904460895,0.625181951,0,0.436310095,0,1,0,0,0.436310095,0,0
2935,48,1,2.742388674,2.708050201,4929,14.52402267,1.344964661,0,5.888052893,0.551005212,0,0.656670673,0,1,0,0,0.656670673,0,0
2936,48,0,2.572603406,3.526360525,4930,12.0998844,1.352990975,0,5.822585427,0.551005212,0,0.419707195,0,1,0,0,0.419707195,0,0
2937,48,1,2.196624933,3.526360525,4931,7.994604821,1.344964661,0,5.745177128,0.551005212,0,0.662286561,0,1,0,0,0.662286561,0,0
2938,48,1,2.402852115,3.135494216,4932,10.05466062,1.344964661,0,5.464902072,0.551005212,0,0.661810362,0,0,0,0,0.661810362,0,0
2939,48,0,1.92173289,3.218875825,4933,5.832788688,1.35294693,0,5.366809917,0.551005212,0,0.388623558,0,1,0,0,0.388623558,0,0
2940,108,1,5.253969569,3.17805383,4934,190.3242377,1.189390381,0,4.67109218,0.220839813,0,0.624689107,0,1,0,0,0.624689107,0,0
2941,108,1,5.411351603,2.079441542,4935,222.9340531,1.189390381,0,4.140554966,0.220839813,0,0.676407254,0,0,0,0,0.676407254,0,0
2942,108,1,5.301339105,1.945910149,4936,199.6052618,1.189390381,0,4.715028836,0.220839813,0,0.563519126,0,1,0,0,0.563519126,0,0
2945,91,1,1.156835685,3.433987204,4937,2.179855275,1.170071253,0,5.535913261,0.151832461,0,0.401391223,0,1,0,0,0.401391223,0,0
2946,9BX,1,3.692387548,3.433987204,4937,39.14057018,1.9789517,0,5.535913261,0.151832461,0,0.680087719,0,1,0,1,0.680087719,0,0
2947,9X,1,4.890962669,3.433987204,4937,132.081626,1.78455133,0,5.535913261,0.151832461,0,0.712899395,0,1,0,0,0.712899395,0,0
2948,56,0,1.667117984,3.433987204,4938,4.296880088,1.098612289,0,5.528403112,0.028835063,0,0.600347756,0,1,0,0,0.600347756,0,0
2951,91,0,1.521686414,3.433987204,4938,3.579942363,1.098612289,0,5.528403112,0.028835063,0,0.469872593,0,1,0,0,0.469872593,0,0
2952,9BX,0,3.494105689,3.433987204,4938,31.92083333,2.003448971,0,5.528403112,0.028835063,0,0.449018379,0,1,0,1,0.449018379,0,0
2953,9X,0,4.946278725,3.433987204,4938,139.6505893,1.863303969,0,5.528403112,0.028835063,0,0.624712938,0,1,0,0,0.624712938,0,0
2954,6,0,4.481549777,4.043051268,4940,87.37152278,1.775371457,0,6.125034898,0.37755102,0,0.68480826,0,1,0,0,0.68480826,0,0
2955,7,0,3.051896118,4.043051268,4940,20.15541958,1.271274105,0,6.125034898,0.37755102,0,0.570894436,0,1,0,0,0.570894436,0,0
2956,71,0,4.231354638,4.043051268,4940,67.81038223,1.592877256,0,6.125034898,0.37755102,0,0.681194585,0,1,0,0,0.681194585,0,0
2957,N-OWL,0,0.867722765,4.043051268,4940,1.381481481,1.098612289,0,6.125034898,0.37755102,0,0.862250712,0,1,0,0,0.862250712,0,0
2958,6,0,4.421406931,4.477336814,4941,82.21327835,1.743168678,0,6.216526547,0.329350985,0,0.739460403,0,1,0,0,0.739460403,0,0
2959,7,0,3.164713821,4.477336814,4941,22.68196578,1.088680962,0,6.216526547,0.329350985,0,0.556352124,0,1,0,0,0.556352124,0,0
2960,71,0,4.081106018,4.477336814,4941,58.210922,1.592212264,0,6.216526547,0.329350985,0,0.724454734,0,1,0,0,0.724454734,0,0
